ID,ISBN:,Автор:,В базе:,В закладки,Возраст,Год:,Издательство:,Код:,Название,Не понравилось,Обложка,Описание,Переводчик:,Переплёт:,Понравилось,Размеры:,Рейтинг,Серия:,Страниц:,Тематика:,Тираж:,Формат:,Цена
3285404,978-5-699-29372-8,Емец Дмитрий Александрович,Э.ТГ (8) Таня Гроттер и ботинки кентавра (нов),0,12+,2008,Эксмо,399496,Таня Гроттер и ботинки кентавра  Емец Дмитрий Александрович,['1'],/files/1836/17/81/35.jpg," Таня Гроттер, Гробыня, Ванька Валялкин, Гуня Гломов, Ягун и Шурасик попадают в параллельный мир. Леса этого жутковатого мира населены нежитью, а горы и подземелья духами. В нем царствуют четыре стихии: огонь, вода, воздух и земля, которым подчинены все живущие в этом мире маги. Никто не способен использовать магию иной стихии, кроме той, что дает ему силы. Здесь незримо властвует Стихиарий - бесплотное существо, силы которого в десятки раз превосходят силы обычного чародея. Когда-то Стихиарий был перенесен сюда магией Феофила Гроттера. Некогда предок Тани воспользовался помощью Стихиария, но, сочтя назначенную цену чрезмерной, нарушил договор и, не расплатившись с ним, хитростью перенес Стихиария в параллельный мир. Для того чтобы покинуть его и вернуться в собственное измерение, Стихиарию необходимо напоить руны своей чаши кровью Феофила Гроттера, которая бежит теперь в единственных жилах - жилах Тани Гроттер... далее Читать Свернуть ",,твердый,16,"13,00 см x 20,00 см x 3,20 см", 94.12%,Таня Гроттер,416,Для среднего школьного возраста,5100,84х108/32,
3292173,978-5-699-27717-9,Емец Дмитрий Александрович,Э.ТГ(нов).Таня Гроттер 4.И трон Древнира,0,12+,2008,Эксмо,390712,Таня Гроттер и трон Древнира  Емец Дмитрий Александрович,['1'],/files/1836/17/38/73.jpg," Давненько в Тибидохсе не было таких неприятностей! Похищены основные источники магии: предметы, принадлежавшие когда-то Древниру. Правда, существует ещё трон древнего мага, энергии которого хватит на тысячелетия. Но беда в том, что никто не знает, где он находится. День ото дня запасы магии в Тибидохсе иссякают, и все ученики отправлены в мир лопухойдов. Таня Гроттер и Баб-Ягун оказываются в семействе Дурневых... Но ничего в магическом мире не может быть важнее драконбола. Все с нетерпением ждут матча комады невидимок со сборной Тибидохса. Интригу накаляет то, что легендарный Гурий Пуппер наконец влюблен. Сотнями летят купидончики с цветами и письмами! Интересно, кому Пуппер их посылает? Без охмуряющей магии тут явно не обошлось... Но Таня совсем не этого хотела!!! далее Читать Свернуть ",,твердый,16,"13,00 см x 20,00 см x 3,20 см", 94.12%,Таня Гроттер,432,Для среднего школьного возраста,7100,84х108/32,
3294377,978-5-699-21786-1,Емец Дмитрий Александрович,Э.ВМЕ.Сокровища мутантиков,0,12+,2007,Эксмо,338956,Сокровища мутантиков  Емец Дмитрий Александрович,0,/files/1836/14/74/28.jpg," To, что Остров Сломанной Мечты находился очень далеко от Мутатерритории, не могло остановить Рыжую Карлу. Королева карликов должна отыскать сокровища Черного пирата и завладеть Волшебным Мечом, который даст ей власть и силу. Злая королева приказала готовиться к длительной экспедиции. Лобастикам удалось узнать, что реакторные карлики собираются в поход за кладом, и рассказали об этом своим друзьям шерстюшам и кошачьему мутантику Бормоглотику. Посовещавшись, шерстюши и лобастики решили идти за карликами, следить за своими врагами и лишь в конце пути вырваться вперед и перехватить Меч-кладенец из-под носа Рыжей королевы. Разумеется, план был авантюрный и в нем имелось много уязвимых мест, и вскоре друзьям пришлось в этом убедиться... Твердый переплет, бумага офсетная. далее Читать Свернуть ",,твердый,2,"13,00 см x 20,00 см x 2,50 см", 62.5%,Волшебные миры Дмитрия Емца,352,Для среднего школьного возраста,4000,84х108/32,
3294397,978-5-699-28064-3,Емец Дмитрий Александрович,Э.Мефодий Буслаев-10.Лестница в Эдем,0,12+,2008,Эксмо,392776,Лестница в Эдем  Емец Дмитрий Александрович,['1'],/files/1836/17/48/72.jpg," Мефодий Буслаев больше не служит мраку. И теперь Лигул вправе передать его меч другому. Он нашёл клинку Древнира нового хозяина. Это щеголь и красавчик из Тартара Гопзий Руриус Третий. Но Меф не желает расставаться с мечом. Есть ли способ его сохранить? Арея уверен, что есть. Сразиться на дуэли с Гопзием. По слухам тот - четвёртый клинок мрака. У Мефа всего месяц на подготовку. Но Буслаев ещё не знает, какую ловушку готовят ему Лигул и Гопзий. Ведь бывший меч Древнира – артефакт переменной силы. Бывают дни, когда силы меча иссякают. В момент дуэли сил в клинке Мефа будет меньше, чем в любой музейной железке!.. далее Читать Свернуть ",,твердый,64,"13,00 см x 20,00 см x 3,10 см", 98.46%,Мефодий Буслаев,416,Для среднего школьного возраста,90000,84х108/32,
3294613,978-5-373-03479-1,Хантер Эрин,ОЛМА Странники Дымная гора,0,12+,2010,Олма-пресс,528967,Дымная гора  Хантер Эрин ,['1'],/files/1377/24/76/89.jpg," Странники узнают, что есть на свете такое место, где разные медведи живут в мире и согласии, где много добычи и где не бывает Плосколицых… Белый медвежонок Таккик, его сестра Каллик, черный медвежонок-барибал Луса, медвежонок-гризли Токло и волшебный медвежонок Уджурак решают, что это и есть то, что они ищут. Но путь к медвежьему раю таит множество бед… Дымная Гора становится для друзей самым большим испытанием. Каждый из них вынужден продолжить свой путь в одиночку. Постепенно герои понимают, что это не конец пути, что все только начинается... далее Читать Свернуть ",,твердый,14,"13,00 см x 20,00 см x 1,90 см", 93.33%,Странники,320,Для среднего школьного возраста,6000,84х108/32,
3302316,978-5-699-61087-7,Емец Дмитрий Александрович,Э.ТГр. 1.Таня Гроттер и магич.контрабас,0,12+,2013,Эксмо,928443,Таня Гроттер и магический контрабас  Емец Дмитрий Александрович,['6'],/files/1836/36/21/32.jpg,,,твердый,96,"13,00 см x 20,00 см x 3,20 см", 94.12%,Таня Гроттер,416,Для среднего школьного возраста,3000,206.00mm x 135.00mm x 32.00mm,
330658,978-5-699-20894-4,Донцова Дарья Аркадьевна,Э.ИД.Золушка в шоколаде,0,16+,2007,Эксмо,333104,Золушка в шоколаде  Донцова Дарья Аркадьевна,['3'],/files/1836/14/35/57.jpg," Разве могу я, Евлампия Романова, остаться в стороне, если друг заболел? Ужасно: у Вовки Костина нет желудка! Именно такой диагноз поставили в платной поликлинике. Ерунда, врут медики, ест-то он вон с каким аппетитом! Врут, чтобы денежки вытянуть на лечение. Не на ту напали! Недаром же госпожа Романова является сотрудником частного детективного агентства! Вот я пойду и разберусь с коновалами, которые за такие деньги ставят такие диагнозы! Кстати, а откуда у заведующей отделением поликлиники взялся медальон покойной Зои Крон? Зря я решила, что ее мать, рассказавшая странную историю о скоропостижной смерти дочери и письме… с того света, сумасшедшая. Сумасшедшие те, кто задумал кошмарную авантюру. Хотя и они не психи - просто преступники. Опять не так: не просто, а очень опасные. Только я никого не боюсь! Без иллюстраций. Бумага офсетная. далее Читать Свернуть ",,твердый,7,"13,00 см x 20,00 см x 2,50 см", 70%,Иронический детектив,384,Отечественные,250000,84х108/32,
330661,978-5-699-20169-3,Емец Дмитрий Александрович,Э.Мефодий Буслаев-7.Лед и пламя Тартара,0,12+,2013,Эксмо,323903,Мефодий Буслаев. Кн.7. Лед и пламя Тартара  Емец Дмитрий Александрович,['7'],/files/1836/13/79/28.jpg," Нижний Тартар... Невыносимый жар там соседствует с адским холодом, и муки томящихся там бесконечны. Туда издавна ссылают тех темных стражей, кто слишком опасен, неконтролируем и жесток даже для мрака. Спеша расправиться с Мефом и Ареем, Лигул тайно выпускает из Нижнего Тартара самых опасных узников. Тартарианцы бессмертны. Их тела неуязвимы для любого темного оружия. Только светлая магия способна отогнать их на время, однако Лигул предусмотрел и это. Застигнутая врасплох Даф теряет связь со своей флейтой. Отныне ее маголодии не действуют. За Эссиорхом охотятся убийцы. А юная валькирия поставлена перед выбором: завладеть дархом Арея или лишиться своего копья... далее Читать Свернуть ",,твердый,359,"13,00 см x 20,00 см x 2,60 см", 98.09%,Мефодий Буслаев,416,Для среднего школьного возраста,90100,205.00mm x 135.00mm x 25.00mm,
330670,5-699-19930-6,Донцова Дарья Аркадьевна,Э.ИД.Каникулы в Простофилино,0,16+,2007,Эксмо,325231,Каникулы в Простофилино  Донцова Дарья Аркадьевна,['3'],/files/1836/13/86/10.jpg," Любовь - страшная сила, это давно известно. Из-за нее происходят невероятные вещи! И я, Виола Тараканова, смогла лично в этом убедиться, решив помочь Милке Каркиной. По дому подруги бродит... чучело крокодила. Только чучело не обычное, а тотем кровожадного африканского племени. Ходит эта мумия и угрожает уничтожить всю семью! Глупости, такого не бывает! Вон его, на помойку! Собственными руками! Но что это? Вот же он, опять у порога стоит... И родители Милки вдруг одновременно умирают. Неужели причина именно в проклятии мерзкой крокодильей мумии? Нет, не верю я в чертовщину. Но в чем же тогда суть? Придется мне тогда разобраться. Чучело немедленно в огонь! А теперь пора взяться за дела людские... далее Читать Свернуть ",,твердый,5,"13,00 см x 20,00 см x 2,50 см", 57.14%,Иронический детектив,384,Отечественные,250000,84х108/32,
330918,978-5-699-21569-0,Донцова Дарья Аркадьевна,Э.ИД.Зимнее лето весны,0,16+,2007,Эксмо,343340,Зимнее лето весны  Донцова Дарья Аркадьевна,['2'],/files/1377/14/99/22.jpg," Абсурд, такого просто не может быть... Пришла Виола Тараканова к шантажистке выяснять отношения и... убила ее. Во всяком случае, все выглядит именно так. Вот же и труп старушки возле ног Таракановой, и выстрел только что прозвучал, и орудие преступления у нее в руке. Но Виола не стреляла! И до этого она никого не лишала жизни! Нечем было ее шантажировать! vТолько каким образом в доме убитого недавно бизнесмена, где она никогда до сегодняшнего дня не бывала, появились косметика, любимые тапочки и пижама Виолы? И кто такой мистер Икс, который названивает по телефону и утверждает, что про все это знает? А ведь ему и правда многое известно, как будто он следит за каждым ее шагом. Чего же он хочет?.. Сломить? Подчинить? Сделать марионеткой в своих руках? Ну нет, не на ту напали! Виола и не таких выводила на чистую воду! далее Читать Свернуть ",,твердый,7,"13,00 см x 20,00 см x 2,60 см", 66.67%,Иронический детектив,384,Отечественные,250000,84х108/32,
330920,978-5-699-22452-4,Донцова Дарья Аркадьевна,Э.ИД.Личное дело Женщины-кошки,0,16+,2007,Эксмо,347336,Личное дело Женщины-кошки  Донцова Дарья Аркадьевна,0,/files/1836/15/16/00.jpg," Страшный монстр завелся в доме Даши Васильевой. Кто это? Что это? У всех членов семьи разные версии. Даше привиделся ползущий огромный кусок мяса. Дегтярев утверждает, что у себя в комнате видел живую подушку. Короче, пора вызывать врачей. Они и вызвали. А вместо помощи получили еще одну головную боль - медсестра Марина решила окрутить полковника и поселиться в шикарном особняке... Нужно срочно выручать друга! Но и о новом расследовании забывать нельзя. Приятельница Таня Медведева попросила Дашу вывести на чистую воду мошенницу. К ним домой заявилась девица, которая выдает себя за пропавшую десять лет назад ее падчерицу Настю. Девочка вышла во двор выбросить мусорное ведро и исчезла. Таня твердо уверена - ее уже нет в живых. Но отец и бабушка признали Настю. Любительница частного сыска берется за разоблачение самозванки! далее Читать Свернуть ",,твердый,4,"13,00 см x 20,00 см x 2,70 см", 70%,Иронический детектив,384,Отечественные,250000,84х108/32,
330930,5-699-18855-X,Донцова Дарья Аркадьевна,Э.ПИ.Простые и вкус.рец.Дарьи Донцовой,0,12+,2006,Эксмо,306488,Простые и вкусные рецепты Дарьи Донцовой  Донцова Дарья Аркадьевна,['5'],/files/1836/13/08/31.jpg," Мастер детективного жанра, одна из самых остроумных писательниц российской литературы продолжает щедро делиться своими неиссякаемыми талантами. Дарье Донцовой подвластно многое - от лихо закрученной интриги до откровенного разговора с современной женщиной, от веселых приключений домашних животных до секретов изысканной кухни! Попробуйте! Рецепты и советы от Дарьи Донцовой - это легко в приготовлении, изысканно и вкусно. Готовьте с удовольствием! Замечательный подарок всем любительницам иронических детективов! Возможность заглянуть на кухню звезды! Простые секреты, как баловать родных и гостей праздничным настроением даже в будни! далее Читать Свернуть ",,твердый,4,"21,80 см x 29,00 см x 1,80 см", 46.67%,,256,"Кулинария, напитки",50100,60х84/8,
330943,978-5-699-21242-2,Донцова Дарья Аркадьевна,Э.ИД(м).Каникулы в Простофилино,0,16+,2007,Эксмо,337631,Каникулы в Простофилино  Донцова Дарья Аркадьевна,0,/files/1836/14/65/73.jpg," Любовь - страшная сила, это давно известно. Из-за нее происходят невероятные вещи! И я, Виола Тараканова, смогла лично в этом убедиться, решив помочь Милке Каркиной. По дому подруги бродит… чучело крокодила. Только чучело не обычное, а тотем кровожадного африканского племени. Ходит эта мумия и угрожает уничтожить всю семью! Глупости, такого не бывает! Вон его, на помойку! Собственными руками! Но что это? Вот же он, опять у порога стоит… И родители Милки вдруг одновременно умирают. Неужели причина именно в проклятии мерзкой крокодильей мумии? Нет, я не верю в чертовщину. Но тогда в чем же суть? Придется мне разобраться. Чучело немедленно в огонь! А теперь пора взяться за дела людские… Мягкая обложка, бумага офсетная. далее Читать Свернуть ",,мягкий,2,"10,90 см x 16,50 см x 2,00 см", 62.5%,Иронический детектив,384,Отечественные,370000,70х90/32,
331009,978-5-699-23848-4,Донцова Дарья Аркадьевна,Э.Кулинарная книга лентяйки-2,0,12+,2007,Эксмо,357525,Кулинарная книга лентяйки-2. Вкусное путешествие  Донцова Дарья Аркадьевна,['2'],/files/1836/15/65/44.jpg," Было бы намного лучше, если бы вместо бесполезных сувениров мы привозили из поездок новые идеи! Например, кулинарные. В понедельник готовим индейку по рецепту, тайком провезенному из Америки, во вторник – паприкаш по-венгерски, в среду – курицу с рисом по-кубински… Продолжать можно бесконечно. Но, к сожалению, немногие из нас могут назвать себя бывалыми путешественниками. В таком случае за интересными рецептами со всего мира можно обратиться к любимому автору иронических детективов. Издательство «Эксмо» приготовило новый сюрприз для читателей Дарьи Донцовой: «Кулинарную книгу лентяйки-2. Вкусное путешествие». Звезда российского детектива в свойственной ей легкой и ироничной форме поделится с читателями рецептами кухонь 22 разных стран мира, даже таких экзотических, как Сирия и Куба. Автор сама собрала эти рецепты во время своих многочисленных зарубежных поездок в качестве переводчика. Также в книге найдется уйма занимательных и смешных историй, которыми Дарья Аркадьевна балует своих друзей-читателей. Кулинарно-биографическое повествование доставит удовольствие гурманам всех возрастов! Новая кулинарная книга Дарьи Донцовой – это веселое занимательное чтение и изумительные рецепты со всего мира! далее Читать Свернуть ",,твердый,3,"21,50 см x 17,00 см x 1,80 см", 54.55%,,304,"Кулинария, напитки",150000,70х90/16,
331010,5-699-19407-X,Донцова Дарья Аркадьевна,Э.ИД.Мачо чужой мечты,0,16+,2006,Эксмо,314219,Мачо чужой мечты  Донцова Дарья Аркадьевна,['3'],/files/1836/13/32/11.jpg," Иван Подушкин не в состоянии больше терпеть тиранию владелицы детективного агентства ""Ниро"". Но приходится! К Норе за интервью явилась репортерша из гламурного журнала, и тут же нарисовалась клиентка с жуткой фамилией Умер. Эта самая Соня Умер пришла явно не по адресу, ей нужно получить разрешение от мужа, звезды телеэкрана Андрея Вяльцева, на выезд их общего сына за границу. Однако Нора, не желая упасть лицом в грязь перед журналисткой, заставляет Ваню поехать к телезвезде за разрешением. Взбешенный Вяльцев выставляет Ивана вон! Самое смешное, что Нора на следующий же день раздобыла за деньги необходимый документ и Подушкин повез его клиентке. Но Ваня нашел в квартире убитую Соню с изуродованным лицом... Вот тут и начались бега Подушкина по пересеченной следами преступников местности... далее Читать Свернуть ",,твердый,9,"13,00 см x 20,00 см x 2,90 см", 75%,Иронический детектив,384,Отечественные,170000,84х108/32,
331011,978-5-699-21101-2,Донцова Дарья Аркадьевна,"Э.ИД.Верхом на ""Титанике""",0,16+,2007,Эксмо,339651,"Верхом на ""Титанике""  Донцова Дарья Аркадьевна",0,/files/1836/14/78/69.jpg," Верхом на ""Титанике""… Что, сложно представить? Но именно такой образ пришел в голову Ивану Павловичу Подушкину после знакомства с Левой. Ваня должен в оба глаза следить за этим великовозрастным внучком подруги Элеоноры, на проверку оказавшимся настоящим исчадием ада. Он в пути проиграл свои вещи и вышел на перрон, завернувшись в одеяло, да еще по дороге пытался развести Подушкина на сотню баксов... А дома уже ждал новый клиент - Федор Шульгин. Он попросил доказать невиновность своей любовницы Лады, которую обвинили в убийстве мужа, бизнесмена Юрия Шульгина. Ване этот тип сразу показался подозрительным. Ну не странно ли?! Мало того, что они однофамильцы, так еще и баба у них общая! Но Нора не разделяла сомнений секретаря. Пока, сидя в уютном кресле, она занималась мозговым штурмом, Иван Павлович, как дикий мустанг носился по Москве в поисках преступников. Твердый переплет, бумага офсетная. далее Читать Свернуть ",,твердый,5,"13,00 см x 20,00 см x 2,60 см", 72.73%,Иронический детектив,384,Отечественные,190000,84х108/32,
